Date,Session,Total_Signals,BUY_Signals,SELL_Signals,Total_Deals,Win,Loss,WinRate_%,PnL,End_Balance
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,NY,58,58,0,15,9,6,60.0,5.2000,10005.20
2026-05-11,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,NY,7,7,0,3,3,0,100.0,4.2000,10004.20
2026-05-12,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,NY,58,58,0,15,9,6,60.0,5.2000,10005.20
2026-05-13,NY,7,7,0,3,3,0,100.0,4.2000,10004.20
2026-05-14,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
